"Model.No","Predictors","Time","DIC","xScore","yScore"
1,"~ temp + moisture + soil5","2016-05-22 15:10:05",-4.40558518183641e+33,-0.414534142862393,134564.137266059
2,"~ temp + deficit + soil5","2016-05-22 15:19:27",-5.09568138229529e+33,-0.115915599084321,135220.641660414
3,"~ temp + surplus + soil5","2016-05-22 15:28:50",-4.43357799896846e+33,-0.361695657444684,132877.111357464
4,"~ temp + moisture + deficit + soil5","2016-05-22 15:38:15",-5.81924430634355e+33,-0.656949699308627,137257.203245245
5,"~ temp + moisture + surplus + soil5","2016-05-22 15:47:44",-5.38232486068694e+33,-0.817344685150976,138755.540804918
6,"~ temp + moisture + deficit + surplus + soil5","2016-05-22 15:57:18",-4.62967677804122e+33,-1.4028648901775,138002.098478333
7,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3","2016-05-22 16:07:20",-1.08403831100611e+34,-2.25170817104112,136499.086661269
8,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3","2016-05-22 16:17:16",-9.09984176956921e+33,-2.06156517580526,138993.975770742
9,"~ temp + moisture + surplus + soil5 +u1 + u2 + u3","2016-05-22 16:27:21",-9.05638748222743e+33,-2.10001508026825,137317.586138193
10,"~ temp + deficit + surplus + soil5 +u1 + u2 + u3","2016-05-22 16:37:20",-6.22562630634121e+33,-2.27926320769779,136815.201741623
11,"~ temp + deficit + surplus +u1 + u2 + u3","2016-05-22 16:46:31",-4.61717108156536e+33,-2.18872602129796,130223.365581643
12,"~ temp + moisture + surplus +u1 + u2 + u3","2016-05-22 16:55:47",-4.3730942759958e+33,-2.05268810499598,132225.606028929
13,"~ temp + deficit + moisture +u1 + u2 + u3","2016-05-22 17:04:59",-5.04390709482413e+33,-1.9761131686133,132797.968157071
14,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus","2016-05-22 17:16:23",-7.71616432901885e+33,-30.1827696064629,137715.941671389
15,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3+ moisture*surplus","2016-05-22 17:27:43",-7.89418773632829e+33,-27.9315675310559,138341.661041114
16,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit","2016-05-22 17:39:03",-9.00048018998559e+33,-30.7946513968955,121556.909704305
17,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3+ moisture*deficit","2016-05-22 17:50:15",-9.44692245364977e+33,-20.2102678394248,137779.782762836
18,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp","2016-05-22 18:01:40",-1.17915927052532e+34,-13.4363410966077,136656.207549376
19,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3+ moisture*temp","2016-05-22 18:12:53",-1.05927071243368e+34,-11.5705637958397,137783.588319783
20,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5","2016-05-22 18:25:02",-1.18106252991533e+34,-4.9137123492651,137856.661831587
21,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3+ moisture*soil5","2016-05-22 18:37:13",-1.07058629096602e+34,-5.1772155248245,137570.143383304
22,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + temp*soil5","2016-05-22 18:49:21",-9.96651579318584e+33,-3.15031422966624,140774.151440237
23,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3+ temp*soil5","2016-05-22 19:01:26",-9.67923350142027e+33,-2.76811613787561,139746.672776148
24,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + deficit*soil5","2016-05-22 19:13:32",-9.24727149753268e+33,-5.50973529823075,138089.655760389
25,"~ temp + moisture + deficit + soil5 +u1 + u2 + u3+ deficit*soil5","2016-05-22 19:25:27",-8.35673700927447e+33,-5.06989501782037,139136.224938518
26,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*deficit","2016-05-22 19:36:58",-9.15096611375224e+33,-43.7696908950295,139683.004967566
27,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*temp","2016-05-22 19:48:31",-1.13169308627749e+34,-37.0400271230943,136219.645709943
28,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*soil5","2016-05-22 20:00:47",-1.26720731138903e+34,-25.5263208444194,138708.106734011
29,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + temp*soil5","2016-05-22 20:13:06",-1.05458196871409e+34,-50.5255270407785,141263.522488538
30,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + deficit*soil5","2016-05-22 20:25:21",-1.37233619334985e+34,-36.3791804319573,141002.978023169
31,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp","2016-05-22 20:36:51",-1.18490993850691e+34,-45.2405505477204,138133.059655581
32,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5","2016-05-22 20:49:09",-9.18777045230566e+33,-28.6492989694334,139681.025852768
33,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + temp*soil5","2016-05-22 21:01:23",-1.29939234472152e+34,-43.9261928560298,140232.739347675
34,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + deficit*soil5","2016-05-22 21:13:38",-1.21867573079532e+34,-24.0721604577023,139387.5199581
